Party, Won
Aam Aadmi Party,1
AJSU Party,1
All India Anna Dravida Munnetra Kazhagam,1
All India Majlis-E-Ittehadul Muslimeen,2
All India Trinamool Congress,22
All India United Democratic Front,1
Bahujan Samaj Party,10
Bharatiya Janata Party,303
Biju Janata Dal,12
Communist Party of India,2
Communist Party of India  (Marxist),3
Dravida Munnetra Kazhagam,23
Indian National Congress,52
Indian Union Muslim League,3
Jammu & Kashmir National Conference,3
Janata Dal  (Secular),1
Janata Dal  (United),16
Jharkhand Mukti Morcha,1
Kerala Congress  (M),1
Lok Jan Shakti Party,6
Mizo National Front,1
Naga Peoples Front,1
National People's Party,1
Nationalist Congress Party,5
Nationalist Democratic Progressive Party,1
Revolutionary Socialist Party,1
Samajwadi Party,5
Shiromani Akali Dal,2
Shivsena,18
Sikkim Krantikari Morcha,1
Telangana Rashtra Samithi,9
Telugu Desam,3
Yuvajana Sramika Rythu Congress Party,22
Other,8
Total,542
